timestamp,gateway_ip,unit_id,model,location,description,ct_primary,ct_secondary,status,parameter,value,unit
2026-07-21T14:34:07,192.168.1.119,1,wattz,P1,BM Sec2 Vacuum/VAT/CON,250,5,NO_MAP,,,
2026-07-21T14:34:07,192.168.1.119,2,wattz,P1,BM Sec1 ST/TH/MD/TR,800,5,NO_MAP,,,
2026-07-21T14:34:07,192.168.1.119,3,wattz,P1,PR,400,5,NO_MAP,,,
2026-07-21T14:34:07,192.168.1.119,4,wattz,P1,STR/COMPRE,400,5,NO_MAP,,,
2026-07-21T14:34:07,192.168.1.119,5,wattz,P1,GENERATOR,2000,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.119,29,schneider_pm2120,P1,P1 Main Incoming Energy,2000,5,"ERROR:read failed at 2699 x20: ExceptionResponse(dev_id=29, function_code=131, exception_code=11)",,,
2026-07-21T14:34:08,192.168.1.123,21,circutor_cvm_c11,P4,P2-PR,400,5,ERROR:Modbus Error: [Input/Output] Unable to decode request,,,
2026-07-21T14:34:08,192.168.1.123,22,circutor_cvm_c11,P4,P1-CELLULOSE,250,5,ERROR:Modbus Error: [Input/Output] Unable to decode request,,,
2026-07-21T14:34:08,192.168.1.123,23,circutor_cvm_c11,P4,OFFICE/WSHOP/CWA,250,5,ERROR:Modbus Error: [Input/Output] Unable to decode request,,,
2026-07-21T14:34:08,192.168.1.123,24,circutor_cvm_c11,P4,P4-BM,800,5,ERROR:Modbus Error: [Input/Output] Unable to decode request,,,
2026-07-21T14:34:08,192.168.1.123,25,circutor_cvm_c11,P4,P4-PR,800,5,ERROR:Modbus Error: [Input/Output] Unable to decode request,,,
2026-07-21T14:34:08,192.168.1.155,6,wattz,P1,Air Dryer,100,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.155,7,wattz,P1,Compressor 1,100,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.155,8,wattz,P1,Compressor 3,100,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.155,9,wattz,P1,Compressor 4,100,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.155,10,wattz,P1,Compressor 2,100,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.155,11,wattz,P1,STR,200,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.156,18,wattz,Canteen,WORKSHOP,100,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.156,19,wattz,Canteen,CANTEEN,150,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.156,20,wattz,Canteen,MAIN OFFICE,100,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.157,12,wattz,P4,P4-STR/TR,200,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.157,13,wattz,P4,P4-SUB SECTION,400,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.157,14,wattz,P4,STRIP CEILING PLANT,400,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.157,15,wattz,P4,P4-BAG OPENER,250,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.157,16,wattz,P4,P4-ST/TR,250,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.158,17,wattz,P4,GENERATOR,2000,5,NO_MAP,,,
2026-07-21T14:34:08,192.168.1.158,30,schneider_pm2120,P4,P4 Main Incoming Energy,1600,5,ERROR:Modbus Error: [Input/Output] Unable to decode request,,,
2026-07-21T14:34:08,192.168.1.159,26,circutor_cvm_c11,P4,Compressor 1,100,5,ERROR:Modbus Error: [Input/Output] Unable to decode request,,,
2026-07-21T14:34:08,192.168.1.159,27,circutor_cvm_c11,P4,Compressor 2,100,5,ERROR:Modbus Error: [Input/Output] Unable to decode request,,,
2026-07-21T14:34:08,192.168.1.159,28,circutor_cvm_c11,P4,Air Dryer,100,5,ERROR:Modbus Error: [Input/Output] Unable to decode request,,,
